{'Propensity Stratification': (0.022809648388612176, 0.0019216537475585938), 'Direct Difference': (61.80388129256393, 0.0004227161407470703), 'Adjusted Direct': (2.1827957536909666, 1.9844603538513184), 'Horvitz-Thompson': (0.1010315018096181, 0.0003833770751953125), 'Doubly Robust': (0.03873374378769037, 2.7732598781585693), 'TMLE': (0.029682702313666258, 4.041680812835693), 'Off-policy': (0.4651045836380608, 1.9187431335449219), 'Double-Double': (0.15497245890308198, 4.115590333938599), 'Direct Prediction': (0.03949898646151324, 1.8760919570922852), 'FlexTENet': (0.6432699521546624, 10.811351537704468), 'OffsetNet': (0.2508841837144613, 3.3247792720794678), 'TNet': (0.01624706964853756, 4.029255390167236), 'TARNet': (0.38758877999318336, 3.5771279335021973), 'SNet3': (0.9882019393995056, 15.00334358215332), 'DRNet': (0.18598307341497672, 8.397496461868286), 'RANet': (0.048745524503089895, 6.584475994110107), 'PWNet': (1.2418830475030553, 9.50563669204712), 'RNet': (0.3453201910789219, 6.112674951553345), 'XNet': (0.010717175863937953, 10.545080661773682)}
{'Propensity Stratification': (0.0073713601413240865, 0.0019223690032958984), 'Direct Difference': (44.08556714722042, 0.0004260540008544922), 'Adjusted Direct': (2.9518970671202656, 1.9821467399597168), 'Horvitz-Thompson': (8.335094437718925e-05, 0.0003879070281982422), 'Doubly Robust': (0.004193419116307195, 1.8432269096374512), 'TMLE': (0.16858657554013, 4.334978342056274), 'Off-policy': (0.5274959210249509, 1.8507726192474365), 'Double-Double': (0.019491223391916827, 4.146647691726685), 'Direct Prediction': (0.0559387663629386, 2.358253002166748), 'FlexTENet': (0.9437086438056983, 8.102701663970947), 'OffsetNet': (0.7041160946188815, 4.392548561096191), 'TNet': (0.5978842626915701, 3.4700772762298584), 'TARNet': (0.010407583417334934, 3.597548246383667), 'SNet3': (1.0920558934224978, 14.864319086074829), 'DRNet': (0.08129876648078971, 7.303094863891602), 'RANet': (0.5800642491664051, 6.09936785697937), 'PWNet': (0.04850609499109609, 8.366871356964111), 'RNet': (0.028292823653682957, 5.710942983627319), 'XNet': (0.2919509430604841, 9.56644320487976)}
{'Propensity Stratification': (0.025723392780023772, 0.001959085464477539), 'Direct Difference': (161.23210586170626, 0.00041866302490234375), 'Adjusted Direct': (5.5267719815530585, 2.2846181392669678), 'Horvitz-Thompson': (0.11833331478134201, 0.00037789344787597656), 'Doubly Robust': (0.007434662526107831, 1.9698612689971924), 'TMLE': (0.1805630972273952, 4.160281658172607), 'Off-policy': (0.2700611524951169, 2.3089067935943604), 'Double-Double': (0.6655467598486491, 3.65061354637146), 'Direct Prediction': (0.002338509152867304, 2.3333048820495605), 'FlexTENet': (0.01716505376911503, 13.86293077468872), 'OffsetNet': (0.45746164426507435, 4.1056928634643555), 'TNet': (0.2579512004459248, 3.86527681350708), 'TARNet': (0.0004509320161108856, 3.250504493713379), 'SNet3': (0.44576787228423526, 12.942254066467285), 'DRNet': (0.43822507155785223, 8.840888023376465), 'RANet': (0.0389804197335609, 7.47351861000061), 'PWNet': (0.5329058465971434, 8.628268480300903), 'RNet': (0.07088566973337719, 5.660115480422974), 'XNet': (0.04909588288919524, 10.702036142349243)}
{'Propensity Stratification': (0.13859591762739173, 0.0019152164459228516), 'Direct Difference': (130.1500516239573, 0.0004203319549560547), 'Adjusted Direct': (4.012238988209775, 2.2212865352630615), 'Horvitz-Thompson': (0.17711564129079035, 0.00039315223693847656), 'Doubly Robust': (0.025457314377569314, 1.9663074016571045), 'TMLE': (0.3311896323225671, 3.992908000946045), 'Off-policy': (0.6729189467071081, 1.9045524597167969), 'Double-Double': (0.013203550719907382, 4.221644639968872), 'Direct Prediction': (0.1606917136149666, 1.9471182823181152), 'FlexTENet': (1.2407881006555816, 11.889652967453003), 'OffsetNet': (0.12992529967587857, 3.559906005859375), 'TNet': (0.040043875290918546, 3.287219285964966), 'TARNet': (0.40099869370519237, 3.9569671154022217), 'SNet3': (0.7836315325663846, 12.99410891532898), 'DRNet': (0.05708016306713836, 7.662451505661011), 'RANet': (0.0006527634305563734, 6.379587650299072), 'PWNet': (0.004489603593815894, 6.816191911697388), 'RNet': (1.1697239816942846, 5.982625961303711), 'XNet': (0.23493619588625367, 9.455757856369019)}
{'Propensity Stratification': (0.01619441434265333, 0.0019147396087646484), 'Direct Difference': (29.36951151488365, 0.00042176246643066406), 'Adjusted Direct': (3.710833449543227, 2.2037501335144043), 'Horvitz-Thompson': (4.96050495397081e-05, 0.00037407875061035156), 'Doubly Robust': (0.018925742752775948, 2.0276334285736084), 'TMLE': (0.14096291859649088, 4.4091408252716064), 'Off-policy': (1.0512485741826678, 1.9124259948730469), 'Double-Double': (0.03186796631274402, 4.263822078704834), 'Direct Prediction': (0.03654702160366832, 1.900965690612793), 'FlexTENet': (0.4185947948722074, 9.894027709960938), 'OffsetNet': (0.05655101177579736, 2.8892464637756348), 'TNet': (0.4096100964520626, 3.927299737930298), 'TARNet': (0.10400937424063648, 2.4594955444335938), 'SNet3': (0.08113705885341511, 16.168338537216187), 'DRNet': (0.01269620112475494, 8.131990909576416), 'RANet': (0.11867826494017458, 7.091553449630737), 'PWNet': (0.7580093637447579, 7.6189634799957275), 'RNet': (0.8016991282823032, 5.587598562240601), 'XNet': (0.1369912582913027, 9.674555540084839)}
{'Propensity Stratification': (0.0033347680296513743, 0.0019712448120117188), 'Direct Difference': (19.297296261383746, 0.00042557716369628906), 'Adjusted Direct': (3.670659688066459, 2.06327486038208), 'Horvitz-Thompson': (0.029034894514517517, 0.0003788471221923828), 'Doubly Robust': (0.004025444372490886, 2.3390157222747803), 'TMLE': (0.0665321542736302, 3.993425130844116), 'Off-policy': (0.2992765581188584, 1.9321160316467285), 'Double-Double': (0.03264393953374891, 4.415446043014526), 'Direct Prediction': (0.14190722617562618, 1.9397432804107666), 'FlexTENet': (0.007111018136333841, 14.777009010314941), 'OffsetNet': (0.006748210006418191, 3.7888095378875732), 'TNet': (0.005772573659293727, 3.4585249423980713), 'TARNet': (0.00031391793403575774, 2.997819185256958), 'SNet3': (0.5562207054817871, 15.56163763999939), 'DRNet': (0.003743634944544359, 7.02567720413208), 'RANet': (0.02707448466568615, 5.774085760116577), 'PWNet': (0.29845728326837656, 7.352924823760986), 'RNet': (0.035255162737238215, 6.181066989898682), 'XNet': (7.430658344149677e-07, 8.989383459091187)}
{'Propensity Stratification': (0.01688302371675678, 0.001901388168334961), 'Direct Difference': (67.73891988169268, 0.000408172607421875), 'Adjusted Direct': (2.6954165273446558, 2.0996253490448), 'Horvitz-Thompson': (0.4997923721909766, 0.00037550926208496094), 'Doubly Robust': (0.10172763905939684, 2.389312505722046), 'TMLE': (0.8381457355801576, 3.5059211254119873), 'Off-policy': (0.16435512759653528, 2.3050169944763184), 'Double-Double': (0.23952967264385153, 4.160008192062378), 'Direct Prediction': (0.34176043807286843, 1.963862657546997), 'FlexTENet': (0.538788460010537, 10.56320595741272), 'OffsetNet': (0.026856699925609715, 4.0132057666778564), 'TNet': (1.006880097603056, 4.0074262619018555), 'TARNet': (0.8000214669625366, 3.00644850730896), 'SNet3': (0.06589027364765163, 13.264277696609497), 'DRNet': (0.09210018275161985, 8.033997774124146), 'RANet': (0.1751214276909282, 6.3581273555755615), 'PWNet': (0.004234407762291997, 8.005411386489868), 'RNet': (0.023553702674258947, 6.401472330093384), 'XNet': (0.13912659638809452, 10.934159278869629)}
{'Propensity Stratification': (34.093881795918705, 0.0018999576568603516), 'Direct Difference': (2912.6580895936218, 0.00043010711669921875), 'Adjusted Direct': (52.882885647398425, 2.0955986976623535), 'Horvitz-Thompson': (0.9560684912850598, 0.00038933753967285156), 'Doubly Robust': (3.734612026141417, 1.8484625816345215), 'TMLE': (34.14382368017558, 3.8921422958374023), 'Off-policy': (1.623450250776609, 1.8151144981384277), 'Double-Double': (0.58022139074924, 4.114440441131592), 'Direct Prediction': (28.514225854759594, 1.9033644199371338), 'FlexTENet': (94.76212371576898, 7.288672685623169), 'OffsetNet': (30.247528749867495, 5.543376207351685), 'TNet': (0.5028311704448318, 8.061766624450684), 'TARNet': (48.575159765872144, 2.4862027168273926), 'SNet3': (27.337511038606703, 7.4759521484375), 'DRNet': (7.326063630472081, 13.68625545501709), 'RANet': (0.741021555266099, 13.526886224746704), 'PWNet': (88.57728857558487, 13.091835021972656), 'RNet': (11.3195359941492, 8.745596647262573), 'XNet': (5.238211126764614, 14.756117105484009)}
{'Regression Discontinuity': (0.06765945017824304, 0.0008220672607421875), 'Propensity Stratification': (2.9861956514237, 0.0018684864044189453), 'Direct Difference': (774.7620383630589, 0.00041103363037109375), 'Adjusted Direct': (5.504964260904914, 1.6150436401367188), 'Horvitz-Thompson': (1.4784940232521746, 0.0003871917724609375), 'Doubly Robust': (0.015897065736154698, 1.849581241607666), 'TMLE': (21.285817828821177, 3.903042793273926), 'Off-policy': (0.18667343546164947, 2.316742181777954), 'Double-Double': (0.020896825767792653, 3.8490896224975586), 'Direct Prediction': (2.4792583728961737, 1.9479060173034668), 'FlexTENet': (4.58374622785752, 5.822757720947266), 'OffsetNet': (4.3790102813623335, 5.1504316329956055), 'TNet': (1.422223789301853, 6.04722261428833), 'TARNet': (1.269877264704687, 5.144751310348511), 'SNet3': (5.619257270238644, 9.511743307113647), 'DRNet': (1.5067328309241599, 11.541944026947021), 'RANet': (1.425400969267689, 9.63607144355774), 'PWNet': (4.080303458929045, 9.64908242225647), 'RNet': (2.7998764520266537, 7.915259838104248), 'XNet': (0.0144410946243755, 12.439156532287598)}
{'Propensity Stratification': (0.017359805174863, 0.001973867416381836), 'Direct Difference': (30.92493975052403, 0.0004162788391113281), 'Adjusted Direct': (3.7925319441650247, 2.215714454650879), 'Horvitz-Thompson': (0.031872547640659284, 0.0003681182861328125), 'Doubly Robust': (0.011861436835705043, 1.9206161499023438), 'TMLE': (2.1411060519601444, 4.072628021240234), 'Off-policy': (0.3730788548986827, 1.8982536792755127), 'Double-Double': (0.12303340595695313, 4.338926792144775), 'Direct Prediction': (0.026251768319467805, 1.989041805267334), 'FlexTENet': (0.004681130531442032, 9.248595476150513), 'OffsetNet': (0.13191666164905105, 2.68690824508667), 'TNet': (0.12304531016860089, 4.50033712387085), 'TARNet': (0.04064910847505305, 3.1932408809661865), 'SNet3': (0.7273295476614002, 13.773500680923462), 'DRNet': (0.08783177506502722, 8.315262079238892), 'RANet': (0.2698295366995004, 6.921884775161743), 'PWNet': (0.5802162515683387, 8.054898262023926), 'RNet': (0.00407327612462172, 5.8172101974487305), 'XNet': (0.01933001117490019, 11.868459939956665)}
{'Propensity Stratification': (0.047355537597224766, 0.0020287036895751953), 'Direct Difference': (61.80388129256393, 0.00042319297790527344), 'Adjusted Direct': (3.3737825404122566, 2.190180540084839), 'Horvitz-Thompson': (0.09339999711838465, 0.0003905296325683594), 'Doubly Robust': (0.05037616938959226, 1.8838951587677002), 'TMLE': (2.7951566579964076, 4.106596946716309), 'Off-policy': (0.3987409327551793, 1.9464142322540283), 'Double-Double': (0.2814640466268506, 4.4520041942596436), 'Direct Prediction': (0.007218714901717008, 2.0680813789367676), 'FlexTENet': (0.6432699521546624, 10.58831524848938), 'OffsetNet': (0.2508841837144613, 3.3575873374938965), 'TNet': (0.01624706964853756, 4.130364179611206), 'TARNet': (0.38758877999318336, 4.203607797622681), 'SNet3': (0.9882019393995056, 15.332564353942871), 'DRNet': (0.18598307341497672, 8.527233362197876), 'RANet': (0.048745524503089895, 6.79946494102478), 'PWNet': (1.2418830475030553, 9.684479713439941), 'RNet': (0.3453201910789219, 6.126805305480957), 'XNet': (0.010717175863937953, 10.068514347076416)}
{'Propensity Stratification': (0.015042488925169413, 0.001924276351928711), 'Direct Difference': (44.08556714722042, 0.0004107952117919922), 'Adjusted Direct': (2.916333517865812, 1.6331956386566162), 'Horvitz-Thompson': (0.0012060951583089436, 0.00039005279541015625), 'Doubly Robust': (3.830789322434119e-06, 2.393594741821289), 'TMLE': (0.4625614765604623, 3.4310197830200195), 'Off-policy': (0.4606126453165799, 2.397690773010254), 'Double-Double': (0.01607295689973374, 3.74021315574646), 'Direct Prediction': (0.029608806000338998, 1.9665052890777588), 'FlexTENet': (0.9437086438056983, 8.565377950668335), 'OffsetNet': (0.7041160946188815, 4.563819408416748), 'TNet': (0.5978842626915701, 3.5414979457855225), 'TARNet': (0.010407583417334934, 3.6911182403564453), 'SNet3': (1.0920558934224978, 15.060415983200073), 'DRNet': (0.08129876648078971, 7.352385520935059), 'RANet': (0.5800642491664051, 5.738468647003174), 'PWNet': (0.04850609499109609, 8.425276041030884), 'RNet': (0.028292823653682957, 5.860905885696411), 'XNet': (0.2919509430604841, 9.67861032485962)}
{'Propensity Stratification': (0.03399039701953633, 0.0019199848175048828), 'Direct Difference': (161.23210586170626, 0.00042128562927246094), 'Adjusted Direct': (1.4787472999306919, 2.198176145553589), 'Horvitz-Thompson': (0.0210804719203166, 0.0003933906555175781), 'Doubly Robust': (0.008602956467555397, 1.8504369258880615), 'TMLE': (0.10086821009130537, 4.063654184341431), 'Off-policy': (0.21476855495549074, 1.8611581325531006), 'Double-Double': (0.9361850207004059, 3.6783971786499023), 'Direct Prediction': (0.10880661274223324, 1.8879239559173584), 'FlexTENet': (0.01716505376911503, 14.288852453231812), 'OffsetNet': (0.45746164426507435, 4.278886079788208), 'TNet': (0.2579512004459248, 3.933009147644043), 'TARNet': (0.0004509320161108856, 3.3238909244537354), 'SNet3': (0.44576787228423526, 12.935806274414062), 'DRNet': (0.43822507155785223, 8.975575685501099), 'RANet': (0.0389804197335609, 7.08603048324585), 'PWNet': (0.5329058465971434, 8.733429193496704), 'RNet': (0.07088566973337719, 5.709030628204346), 'XNet': (0.04909588288919524, 10.949099063873291)}
{'Propensity Stratification': (0.1991386932720484, 0.0019257068634033203), 'Direct Difference': (130.1500516239573, 0.0004265308380126953), 'Adjusted Direct': (4.126180395669458, 2.177180290222168), 'Horvitz-Thompson': (0.049891492702473623, 0.00037097930908203125), 'Doubly Robust': (0.014206449474669074, 2.3792595863342285), 'TMLE': (0.6704569229212981, 3.5033555030822754), 'Off-policy': (0.37655058393981566, 2.420219898223877), 'Double-Double': (0.045903288045160216, 3.727877140045166), 'Direct Prediction': (0.1987753815682976, 1.8869850635528564), 'FlexTENet': (1.2407881006555816, 12.124981880187988), 'OffsetNet': (0.12992529967587857, 3.709573268890381), 'TNet': (0.040043875290918546, 3.4001145362854004), 'TARNet': (0.40099869370519237, 4.08389139175415), 'SNet3': (0.7836315325663846, 13.505995035171509), 'DRNet': (0.05708016306713836, 7.787569046020508), 'RANet': (0.0006527634305563734, 6.438377380371094), 'PWNet': (0.004489603593815894, 6.919867992401123), 'RNet': (1.1697239816942846, 6.031331539154053), 'XNet': (0.23493619588625367, 9.520052433013916)}
